,category,transit_period,transit_duration,transit_depth,transit_depth.1,planet_radius,star_temperature,star_radius,star_surface_gravity,star_brightness
2,CANDIDATE,19.89913995,1.7822,10829.0,10829.0,14.6,5853.0,0.868,4.544,0.8454982882926887
58,CANDIDATE,40.4195037,3.362,6256.0,6256.0,7.51,5446.0,0.781,4.507,0.8823094824918613
62,CANDIDATE,7.2406612,0.558,556.4,556.4,19.45,5005.0,0.765,4.595,0.7718758998943435
63,CANDIDATE,3.43591631,3.133,23.2,23.2,0.55,5779.0,1.087,4.339,-1.063631293213413
84,CANDIDATE,10.181584004,3.5089,5741.1,5741.1,7.73,5988.0,0.836,4.541,1.0050134631557694
92,CANDIDATE,19.620346923,2.0038,21725.0,21725.0,13.6,5710.0,0.905,4.492,0.9364435916082908
112,CANDIDATE,34.84398644,2.9315,4523.6,4523.6,7.61,5509.0,0.871,4.482,1.0245017424376837
118,CANDIDATE,4.64090031,35.512,2450.6,2450.6,30.09,6463.0,0.826,4.5,0.7256814601149897
123,CANDIDATE,1.028436523,1.8606,8098.0,8098.0,72.77,6228.0,0.99,4.428,0.6765998678494267
166,CANDIDATE,235.9986399,8.2284,20715.0,20715.0,10.59,4245.0,0.657,4.627,0.6549462242028551
172,CANDIDATE,39.74893077,7.3051,15179.0,15179.0,14.21,6122.0,0.964,4.487,0.7790937811098674
176,CANDIDATE,13.61014819,2.594,5732.9,5732.9,19.02,5697.0,0.903,4.46,0.5741059545889861
184,CANDIDATE,119.0207044,8.1405,7430.5,7430.5,8.98,5453.0,1.062,4.342,0.5921506576277964
195,CANDIDATE,12.940668656,2.4845,42450.0,42450.0,22.94,5875.0,0.809,4.572,0.6859831134296078
216,CANDIDATE,2.688899233,2.11275,37492.0,37492.0,12.04,4820.0,0.639,4.667,1.0836883684049812
230,CANDIDATE,12.732624065,2.2083,6465.7,6465.7,4.87,3950.0,0.541,4.721,1.0721397584601429
231,CANDIDATE,83.92494032,6.7904,7958.7,7958.7,4.78,3960.0,0.509,4.746,1.075026910946352
253,CANDIDATE,3.886655224,3.1646,581.6,581.6,1.87,5662.0,0.738,4.61,0.7985820603917829
269,CANDIDATE,2.494170338,1.1221,863.7,863.7,2.42,5569.0,0.829,4.566,0.711967485805494
287,CANDIDATE,39.4759093,2.968,1012.6,1012.6,4.06,6225.0,1.031,4.45,0.696088147131341
304,CANDIDATE,9.61731426,3.8692,234.0,234.0,1.94,6035.0,1.257,4.22,0.7018624521037609
316,CANDIDATE,90.1240507,11.649,3020.3,3020.3,7.12,6520.0,1.215,4.375,0.5019271424337461
318,CANDIDATE,856.672115,23.144,858.1,858.1,3.87,6449.0,1.309,4.232,-0.1931548186212171
319,CANDIDATE,0.689210173,1.6169,195.0,195.0,1.32,5630.0,0.954,4.505,-0.7337741216639663
326,CANDIDATE,3.9886021,1.7376,673.5,673.5,34.39,4813.0,13.652,2.472,-5.262272796283733
327,CANDIDATE,0.533059312,1.8621,1495.8,1495.8,133.56,8523.0,4.051,3.559,-4.703608790202174
341,CANDIDATE,129995.7784,9.408,1474.9,1474.9,2.99,4500.0,0.726,4.572,-0.5901382854750384
345,CANDIDATE,13.118962443,4.3045,372.2,372.2,8.25,7221.0,4.24,3.488,-3.6014383285916565
347,CANDIDATE,7.82187328,3.8417,42.2,42.2,2.78,7221.0,4.24,3.488,-3.6014383285916565
348,CANDIDATE,53.5057611,10.5616,195.6,195.6,2.52,6247.0,1.762,4.016,-3.3798493752750693
361,CANDIDATE,13.4471791,3.0454,1428.2,1428.2,5.24,6276.0,1.041,4.405,-0.1909894542565598
403,CANDIDATE,7.37290344,2.172,205.2,205.2,2.67,5973.0,1.07,4.371,-0.3100844943127054
405,CANDIDATE,119.0624882,3.1188,5372.3,5372.3,10.4,5697.0,0.92,4.392,0.7393954344244854
407,CANDIDATE,14.8623076,3.161,840.0,840.0,1.57,4362.0,0.554,4.722,1.138544265642964
433,CANDIDATE,16.15811112,6.049,2319.8,2319.8,86.13,5619.0,0.874,4.536,0.8830312706134132
454,CANDIDATE,1295.362215,28.297,8708.0,8708.0,57.82,5609.0,1.048,4.346,-0.0358050081227936
456,CANDIDATE,4.2989201,2.747,237.6,237.6,2.12,5300.0,0.986,4.385,0.2514666642550619
462,CANDIDATE,5.714817603,3.14126,12295.0,12295.0,9.29,5695.0,0.842,4.526,0.9804726670229872
467,CANDIDATE,2.83668931,3.031,166.1,166.1,1.19,5831.0,0.921,4.517,1.114003469510182
483,CANDIDATE,2.624234833,1.3874,2607.0,2607.0,5.11,5340.0,0.899,4.514,-0.4169091363024619
486,CANDIDATE,92.77779,6.64,359.0,359.0,1.92,5888.0,1.019,4.444,0.9566536590117584
495,CANDIDATE,422.917678,31.274,1367.7,1367.7,5.89,5796.0,1.444,4.12,-0.4493896017723199
531,CANDIDATE,30.5872153,5.3698,464.8,464.8,2.32,5944.0,1.082,4.38,-0.0877737528745659
545,CANDIDATE,9.95639775,5.615,510.5,510.5,28.15,6161.0,1.053,4.454,0.6895920540373704
558,CANDIDATE,31.201692472,2.15663,34514.0,34514.0,8.31,3748.0,0.449,4.796,1.106785588294658
574,CANDIDATE,6.810823723,7.98574,14447.0,14447.0,26.06,7226.0,2.079,3.967,-1.1812827570264546
613,CANDIDATE,51.59809554,2.0153,5869.2,5869.2,6.57,5681.0,0.859,4.551,0.976141938293674
614,CANDIDATE,1500.0,7.109,9592.0,9592.0,9.8,5606.0,0.76,4.597,0.3207583239240925
627,CANDIDATE,1500.1406772,25.727,4129.9,4129.9,18.35,5009.0,2.283,3.755,-0.2905962150307912
660,CANDIDATE,20.51360192,3.4769,1174.1,1174.1,2.58,5310.0,0.704,4.608,0.8238446446461171
667,CANDIDATE,0.783276173,1.6735,264.7,264.7,1.98,5640.0,1.233,4.247,0.5344076079036042
668,CANDIDATE,3.17405898,2.3156,282.2,282.2,2.09,5640.0,1.233,4.247,0.5344076079036042
686,CANDIDATE,345.1589354,7.5646,5087.9,5087.9,7.79,5597.0,0.931,4.515,-0.580755039894856
688,CANDIDATE,99.6442783,5.1772,3215.6,3215.6,8.48,6102.0,1.016,4.447,-0.3714364846446602
708,CANDIDATE,19.03723442,3.3882,401.3,401.3,5.74,5248.0,2.892,3.523,0.4571762788974964
713,CANDIDATE,0.576078683,1.63253,10085.0,10085.0,23.23,5693.0,0.816,4.57,0.7018624521037609
733,CANDIDATE,78.9257421,7.5193,17972.0,17972.0,11.9,5750.0,0.882,4.538,1.1897912222731843
736,CANDIDATE,6.84639884,3.4919,149.7,149.7,1.9,6065.0,1.31,4.251,-0.813892603156282
797,CANDIDATE,268.9410974,5.4434,9010.2,9010.2,13.57,5798.0,1.306,4.224,0.396546076687095
799,CANDIDATE,80.9669561,2.5276,4733.0,4733.0,5.04,5611.0,0.737,4.61,1.0151184968575029
802,CANDIDATE,6.80082032,1.9883,699.9,699.9,1.88,4805.0,0.688,4.633,0.7025842402253129
811,CANDIDATE,54.325574,9.86,44.2,44.2,0.76,6343.0,1.137,4.411,-1.403593498464594
819,CANDIDATE,162.0479502,9.8974,4840.5,4840.5,11.52,6309.0,1.567,4.16,-0.4566074829878438
832,CANDIDATE,1.694740233,1.6864,1446.8,1446.8,2.12,3764.0,0.527,4.739,1.1111163170239726
835,CANDIDATE,15.068060768,3.3011,19387.0,19387.0,16.43,5982.0,0.96,4.493,1.2164973827706225
853,CANDIDATE,6.247030799,1.4848,1496.6,1496.6,1.89,3821.0,0.487,4.764,0.7971384841486776
855,CANDIDATE,700.00298217,7.6525,3245.9,3245.9,6.43,6487.0,1.118,4.397,-0.4840354316068352
856,CANDIDATE,272.0868353,2.7145,5572.0,5572.0,5.95,5587.0,0.791,4.548,0.6506154954735406
867,CANDIDATE,42.0370662,6.282,266.8,266.8,1.66,5823.0,0.96,4.427,0.2485795117688526
868,CANDIDATE,21.0112068,4.507,163.6,163.6,1.4,5823.0,0.96,4.427,0.2485795117688526
871,CANDIDATE,8.75059775,2.8288,881.9,881.9,2.27,4942.0,0.779,4.599,1.194843739124051
944,CANDIDATE,1.714274727,2.06728,28460.0,28460.0,25.0,3874.0,0.535,4.715,1.025945318680789
957,CANDIDATE,3.014330766,2.4747,975.3,975.3,2.87,5209.0,0.953,4.446,1.016562073100608
961,CANDIDATE,13.35151248,3.6045,3308.8,3308.8,4.44,4843.0,0.754,4.562,1.1262738675765724
962,CANDIDATE,1693.6636225,22.604,9515.3,9515.3,10.23,5923.0,1.021,4.445,0.7509440443693239
981,CANDIDATE,104.8205868,4.4794,3920.1,3920.1,6.45,5986.0,0.85,4.527,0.696088147131341
995,CANDIDATE,34.2966363,19.718,696.6,696.6,3.29,5490.0,1.167,4.263,0.5055360830415074
1034,CANDIDATE,31.56904354,2.6364,4229.4,4229.4,11.18,5654.0,0.998,4.387,0.5611137684010423
1052,CANDIDATE,0.840594032,1.404,49.8,49.8,0.62,5440.0,0.885,4.438,0.1554688440885931
1061,CANDIDATE,20.6654374,3.172,100.4,100.4,0.66,4830.0,0.676,4.605,-1.8085166346554915
1063,CANDIDATE,69.8347983,8.262,266.6,266.6,3.51,7732.0,2.022,4.075,-1.620129934930315
1065,CANDIDATE,2.59488443,1.684,592.2,592.2,2.36,4748.0,0.797,4.526,1.0504861148135711
1067,CANDIDATE,19.18109525,2.424,865.4,865.4,1.72,5214.0,0.587,4.673,1.057703996029095
1101,CANDIDATE,11.30507984,3.989,278.4,278.4,1.4,5705.0,0.844,4.556,0.6405104617718061
1105,CANDIDATE,9.9824036,1.09,83.9,83.9,1.17,6273.0,1.139,4.364,-0.5244555664137691
1106,CANDIDATE,12.681733929,1.6866,5879.1,5879.1,7.25,4976.0,0.701,4.577,0.7495004681262198
1109,CANDIDATE,83.09708021,9.2639,15860.0,15860.0,13.83,5286.0,0.636,4.627,1.0201710137083704
1111,CANDIDATE,0.839961456,1.3008,492.9,492.9,1.63,4932.0,0.718,4.618,1.2013398322180229
1120,CANDIDATE,7.136922,2.8005,221.6,221.6,1.38,6086.0,0.921,4.511,0.0782375150824854
1138,CANDIDATE,5.83393857,4.5813,134.4,134.4,1.98,5597.0,1.699,3.963,0.2420834186748807
1143,CANDIDATE,6.33027476,3.67,89.2,89.2,1.02,5900.0,1.07,4.363,-0.0704508379573089
1146,CANDIDATE,5.59728249,1.795,1407.3,1407.3,3.28,5610.0,0.858,4.551,1.2302113570801183
1158,CANDIDATE,23.3397956,1.923,125.1,125.1,1.23,5671.0,1.084,4.36,-0.1390207095047875
1166,CANDIDATE,51.3901452,5.995,494.0,494.0,3.62,6074.0,1.292,4.284,0.5524523109424132
1180,CANDIDATE,186.4361811,5.774,4347.0,4347.0,11.32,5393.0,1.37,4.132,0.8209574921599065
1185,CANDIDATE,35.6364022,4.888,452.6,452.6,1.99,5926.0,0.887,4.532,0.9739765739290168
1188,CANDIDATE,8.98128472,5.0397,4924.0,4924.0,7.19,5977.0,1.022,4.473,1.0382157167471795
1194,CANDIDATE,192.667139,5.443,1148.3,1148.3,3.64,5401.0,0.878,4.487,0.4434623045880007
1202,CANDIDATE,52.971584,3.4632,3882.6,3882.6,29.02,5204.0,0.789,4.55,1.0360503523825222
1205,CANDIDATE,5.91393977,0.562,84.0,84.0,1.07,6194.0,1.129,4.415,-0.1606743531513591
1208,CANDIDATE,14.62399621,2.193,1082.0,1082.0,21.92,5753.0,0.815,4.57,1.1002894952006863
1211,CANDIDATE,9.771462706,1.767,6933.2,6933.2,10.15,5812.0,0.853,4.551,-0.014151364476222
1212,CANDIDATE,281.5628889,8.853,21012.0,21012.0,10.83,4810.0,0.776,4.536,1.2251588402292517
1227,CANDIDATE,6.93910337,2.977,614.7,614.7,1.41,3638.0,0.42,4.844,1.1479275112231453
1237,CANDIDATE,10.19154678,6.165,61.3,61.3,1.39,6212.0,1.684,4.049,-1.8222306089649871
1240,CANDIDATE,12.89006728,3.555,602.5,602.5,1.93,4915.0,0.812,4.512,1.01728386122216
1241,CANDIDATE,23.210509958,3.09802,28737.0,28737.0,21.19,5875.0,0.809,4.572,-0.0264217625426124
1243,CANDIDATE,4.74666128,2.093,256.8,256.8,1.3,4915.0,0.812,4.512,1.01728386122216
1251,CANDIDATE,23.02028478,3.544,5077.8,5077.8,7.58,5613.0,0.956,4.496,0.944383260945368
1266,CANDIDATE,0.708621057,1.5041,187.5,187.5,1.2,5422.0,0.887,4.484,0.5243025742018698
1273,CANDIDATE,169.4976085,7.77,12192.0,12192.0,9.06,5270.0,0.787,4.592,1.1926783747593936
1280,CANDIDATE,0.917568975,2.0654,15805.0,15805.0,11.92,5713.0,0.893,4.541,0.1381459291713348
1284,CANDIDATE,7.79668781,4.6699,361.3,361.3,2.44,6521.0,1.276,4.352,-1.143027986584178
1293,CANDIDATE,7.00447892,2.669,231.4,231.4,1.19,4883.0,0.808,4.515,1.171024731112822
1297,CANDIDATE,30.69395532,2.9512,18121.0,18121.0,13.72,6137.0,1.018,4.46,1.016562073100608
1299,CANDIDATE,29.481061268,3.6636,11871.0,11871.0,16.61,5631.0,0.901,4.41,0.6282400637054157
1308,CANDIDATE,32.7737631,3.416,564.5,564.5,5.0,5640.0,1.534,4.076,0.3561259418801598
1318,CANDIDATE,77.63424586,4.1002,16612.0,16612.0,9.4,4812.0,0.755,4.548,1.1912347985162883
1345,CANDIDATE,32.85862571,3.1483,162.8,162.8,2.31,5899.0,1.414,4.135,-2.522365086870817
1347,CANDIDATE,2.229326354,1.9946,49.1,49.1,0.6,5587.0,0.865,4.525,-2.5822735009596665
1352,CANDIDATE,8.56267266,1.53,608.1,608.1,2.26,5029.0,0.93,4.429,0.6845395371865026
1386,CANDIDATE,17.79108667,2.662,414.2,414.2,2.88,5855.0,1.34,4.148,-0.3353470785670396
1390,CANDIDATE,63.0732241,5.397,671.3,671.3,17.8,6234.0,6.354,3.209,-0.8485384329907973
1403,CANDIDATE,8.710442022,0.9425,1196.4,1196.4,3.61,5416.0,0.809,4.575,0.3979896529302003
1436,CANDIDATE,6.35585682,1.55,176.6,176.6,0.86,3706.0,0.522,4.747,0.1006129468506102
1453,CANDIDATE,4.22464216,1.403,987.0,987.0,4.31,6343.0,1.14,4.408,0.7769284167452101
1478,CANDIDATE,46.2991052,5.2481,854.9,854.9,4.33,5396.0,1.507,4.035,-0.1318028282892624
1490,CANDIDATE,6.31219171,4.9377,403.7,403.7,2.17,6322.0,1.075,4.426,0.5012053543121929
1496,CANDIDATE,86.049055,29.28,429.9,429.9,2.06,5733.0,0.997,4.432,0.3626220349741317
1511,CANDIDATE,5.007414194,1.3584,4413.9,4413.9,8.8,5957.0,1.042,4.417,-0.4854790078499393
1515,CANDIDATE,17.50441726,4.2585,725.4,725.4,3.56,5815.0,1.329,4.16,-0.2444017752514374
1529,CANDIDATE,86.7490807,9.179,547.1,547.1,2.23,5579.0,0.97,4.419,-0.3209113161359919
1533,CANDIDATE,3.261759866,1.7593,3876.1,3876.1,8.01,6131.0,0.945,4.497,0.7328993413305136
1542,CANDIDATE,20.92735802,3.4256,8091.0,8091.0,17.36,6126.0,1.109,4.358,0.4420187283448967
1559,CANDIDATE,30.5231459,2.7286,2212.3,2212.3,11.26,5518.0,0.79,4.585,1.1378224775214107
1561,CANDIDATE,28.78270955,3.451,864.5,864.5,2.11,4774.0,0.745,4.58,0.2774510366309481
1571,CANDIDATE,4.539297295,1.9455,798.1,798.1,2.34,4914.0,0.724,4.61,-0.7251126642053372
1582,CANDIDATE,124.03589939,4.8472,7690.0,7690.0,11.13,5822.0,1.28,4.244,0.5228589979587658
1604,CANDIDATE,17.1181036,1.29,167.7,167.7,1.22,5576.0,0.929,4.515,0.1843403689506886
1605,CANDIDATE,8.29482811,2.7437,559.5,559.5,2.76,5773.0,0.939,4.478,0.147529174751516
1615,CANDIDATE,10.240611361,0.9617,2958.0,2958.0,3.9,5227.0,0.64,4.623,0.825288220889221
1621,CANDIDATE,23.11707222,3.9948,2407.5,2407.5,4.37,5275.0,0.796,4.505,0.8642647794530509
1622,CANDIDATE,4.77502117,1.7087,451.4,451.4,1.73,5275.0,0.796,4.505,0.8642647794530509
1625,CANDIDATE,5.69590202,3.5661,4921.1,4921.1,6.61,6106.0,0.94,4.497,0.428304754035401
1643,CANDIDATE,2.64622742,1.407,155.5,155.5,0.99,5167.0,0.787,4.555,0.890249151828937
1660,CANDIDATE,6.69332825,2.311,781.8,781.8,2.44,4245.0,0.637,4.641,1.016562073100608
1671,CANDIDATE,29.0726293,2.516,439.6,439.6,2.32,5799.0,1.042,4.37,0.1042218874583728
1684,CANDIDATE,6.6254781,2.358,122.0,122.0,0.9,5211.0,0.832,4.5,-0.1115927608857961
1706,CANDIDATE,1.34145255,7.502,26.6,26.6,1.31,7495.0,2.389,3.926,-1.0694055981858328
1719,CANDIDATE,14.97974335,4.126,1211.8,1211.8,3.79,5062.0,0.853,4.481,0.9270603460281096
1720,CANDIDATE,6.7445683,3.813,86.6,86.6,0.86,6106.0,0.923,4.496,0.7610490780710584
1721,CANDIDATE,33.35859852,2.286,1825.9,1825.9,4.44,5009.0,0.799,4.515,0.7134110620485993
1751,CANDIDATE,6.3143447,2.796,191.4,191.4,1.34,6075.0,0.969,4.486,1.1313263844274402
1752,CANDIDATE,78.7327023,5.041,495.8,495.8,7.76,6715.0,2.763,3.754,-0.910612211444304
1754,CANDIDATE,42.3375799,4.924,354.8,354.8,1.45,4132.0,0.581,4.682,0.0075022791703508
1762,CANDIDATE,1.834277283,1.7499,286.5,286.5,1.64,5751.0,0.958,4.458,0.6737127153632174
1769,CANDIDATE,1.151244686,1.272,269.6,269.6,40.32,6086.0,0.921,4.511,0.1836185808291366
1772,CANDIDATE,2.42088277,2.812,223.3,223.3,2.27,5583.0,1.53,4.077,0.9710894214428062
1784,CANDIDATE,38.103908,3.837,961.1,961.1,4.08,5250.0,0.771,4.522,0.8693172963039175
1789,CANDIDATE,5.24242029,6.413,334.9,334.9,3.86,5383.0,1.829,3.824,1.1298828081843348
1802,CANDIDATE,37.8034121,4.641,678.1,678.1,2.95,5329.0,0.819,4.572,0.6686601985123508
1804,CANDIDATE,131.485184,5.294,557.8,557.8,3.03,5765.0,1.242,4.236,0.4550109145328391
1805,CANDIDATE,16.2908527,3.176,44.1,44.1,0.52,5425.0,0.797,4.549,-1.872033989352104
1810,CANDIDATE,147.281212,7.375,452.8,452.8,2.28,5708.0,1.054,4.365,0.3034354090068355
1824,CANDIDATE,16.6671415,3.526,175.0,175.0,0.7,4729.0,0.525,4.726,-0.312971646798916
1841,CANDIDATE,34.135676,9.12,622.0,622.0,13.98,7818.0,5.555,3.365,-0.9394837363064008
1859,CANDIDATE,86.130534,3.321,285.2,285.2,1.47,5830.0,0.876,4.54,0.5062578711630595
1862,CANDIDATE,8.46354384,1.4078,792.2,792.2,2.51,5427.0,0.887,4.495,0.7747630523805528
1867,CANDIDATE,176.331289,13.89,109.8,109.8,2.38,6146.0,2.251,3.8,-0.9257697619969052
1871,CANDIDATE,6.2141496,10.141,183.4,183.4,4.27,5295.0,3.152,3.617,-0.595912590447457
1876,CANDIDATE,17.65737838,3.509,2155.7,2155.7,2.45,3745.0,0.47,4.784,0.0017279741979309
1896,CANDIDATE,7.5966998,3.667,127.5,127.5,1.32,5716.0,1.091,4.343,-0.5648757012207043
1909,CANDIDATE,1.204686597,0.823,233.2,233.2,1.55,5780.0,1.0,4.438,-1.872033989352104
1931,CANDIDATE,6.78341325,3.5437,501.2,501.2,20.75,5096.0,8.769,2.435,0.7884770266900485
1935,CANDIDATE,6.95787,4.537,182.3,182.3,1.39,6240.0,1.025,4.406,0.7328993413305136
1942,CANDIDATE,9.4907638,2.713,197.4,197.4,1.05,5290.0,0.746,4.604,0.890249151828937
1943,CANDIDATE,0.76196247,1.282,190.2,190.2,1.08,5167.0,0.787,4.555,0.890249151828937
1956,CANDIDATE,2.19251903,1.845,18.1,18.1,0.37,5450.0,0.842,4.563,-1.3429632962541926
1961,CANDIDATE,39.7557642,1.958,621.8,621.8,13.72,4405.0,0.511,4.732,0.8476636526573459
1962,CANDIDATE,10.27127527,3.029,343.5,343.5,0.94,4405.0,0.511,4.732,0.8476636526573459
1978,CANDIDATE,4.267961416,1.3427,127.4,127.4,1.42,6395.0,1.237,4.275,-0.8788535340959981
1984,CANDIDATE,18.1209388,3.781,504.2,504.2,1.68,4905.0,0.774,4.536,0.8815876943703093
1986,CANDIDATE,3.98864999,3.516,94.2,94.2,1.15,5692.0,1.188,4.288,0.5423472772406801
1988,CANDIDATE,25.1123362,7.922,398.8,398.8,2.22,6133.0,1.112,4.367,0.9111810073539568
1989,CANDIDATE,2.121023807,0.3673,263.9,263.9,5.75,6133.0,1.112,4.367,0.9111810073539568
1990,CANDIDATE,3.55557922,3.24,60.4,60.4,0.84,5839.0,1.082,4.337,-0.3028666130971816
2024,CANDIDATE,8.28157072,3.1,139.2,139.2,1.37,5640.0,1.175,4.288,0.0060587029272455
2025,CANDIDATE,0.82628442,0.9603,134.9,134.9,0.96,5218.0,0.829,4.548,0.1222665904971818
2026,CANDIDATE,6.37705295,1.949,502.8,502.8,2.15,5672.0,0.965,4.503,0.9075720667461954
2032,CANDIDATE,2.27050106,1.903,106.7,106.7,0.55,4671.0,0.528,4.721,0.0710196338669615
2045,CANDIDATE,18.55581565,5.372,565.9,565.9,20.83,5988.0,8.841,2.982,-0.5475527863034461
2046,CANDIDATE,13.33094869,1.426,725.6,725.6,25.95,5991.0,1.039,4.394,0.4203650846983239
2070,CANDIDATE,21.47642727,5.5498,348130.0,348130.0,59.5,5780.0,1.0,4.438,2.1836934656508404
2078,CANDIDATE,7.10397925,1.5398,370.5,370.5,1.51,5488.0,0.789,4.584,0.6491719192304353
2088,CANDIDATE,6.77367892,3.579,150.7,150.7,1.33,6392.0,1.072,4.425,0.5481215822130987
2089,CANDIDATE,5.22402436,2.608,48.1,48.1,0.58,5487.0,0.84,4.512,-1.0073318197323262
2098,CANDIDATE,15.92108138,1.5443,716.8,716.8,3.14,5595.0,0.82,4.57,0.9082938548677474
2101,CANDIDATE,2.81043228,3.874,47.4,47.4,1.43,5415.0,2.079,3.868,-0.6327237846466296
2105,CANDIDATE,175.603366,9.543,506.8,506.8,2.87,6225.0,1.009,4.461,0.5697752258596716
2113,CANDIDATE,64.034363,9.174,758.8,758.8,3.47,5691.0,0.783,4.561,0.7769284167452101
2121,CANDIDATE,4.790912471,0.5134,360.7,360.7,2.25,4359.0,0.676,4.601,0.1352587766851256
2139,CANDIDATE,47.3659328,7.929,757.0,757.0,11.97,5708.0,0.902,4.482,1.1204995626041538
2150,CANDIDATE,29.2254372,5.293,174.1,174.1,1.35,6049.0,1.008,4.461,-0.0740597785650702
2154,CANDIDATE,13.9034057,3.408,261.4,261.4,1.55,5261.0,0.819,4.523,0.3734488567974181
2158,CANDIDATE,53.3580444,6.812,736.1,736.1,3.41,5481.0,1.036,4.369,0.6130825131528159
2170,CANDIDATE,73.711039,10.062,136.7,136.7,1.77,6374.0,1.502,4.193,-1.1704559352031685
2171,CANDIDATE,14.43348326,2.663,526.8,526.8,16.25,4915.0,0.702,4.627,0.7639362305572676
2173,CANDIDATE,6.35705314,1.324,272.2,272.2,1.59,5982.0,0.96,4.493,-0.0350832200012416
2177,CANDIDATE,1.530515205,0.5945,659.7,659.7,0.84,3462.0,0.259,5.004,0.9855251838738552
2183,CANDIDATE,17.6997392,2.76,752.7,752.7,1.96,4807.0,0.742,4.583,0.848385440778898
2189,CANDIDATE,0.754457729,0.5891,248.2,248.2,2.07,5561.0,1.193,4.25,0.1569124203316971
2192,CANDIDATE,62.6825769,2.327,398.9,398.9,39.8,7058.0,3.101,3.648,-0.8608088310571891
2194,CANDIDATE,16.2707207,5.707,468.0,468.0,28.42,6117.0,1.244,4.315,0.4874913800026972
2202,CANDIDATE,5.42204257,2.952,79.1,79.1,1.39,6123.0,1.263,4.263,-0.2451235633729894
2208,CANDIDATE,24.1073172,10.465,104.2,104.2,2.74,6585.0,2.517,3.813,-1.1978838838221595
2211,CANDIDATE,51.5738653,2.784,900.7,900.7,2.41,5380.0,0.813,4.581,1.2237152639861475
2248,CANDIDATE,0.827151296,1.385,272.4,272.4,19.1,4452.0,11.895,2.28,0.5250243623234231
2256,CANDIDATE,11.6191707,1.819,700.4,700.4,2.21,5870.0,0.834,4.56,1.010065980006636
2258,CANDIDATE,38.2292037,3.893,605.8,605.8,1.51,4544.0,0.598,4.656,0.4203650846983239
2263,CANDIDATE,176.845697,3.812,431.6,431.6,42.05,5592.0,0.797,4.541,-0.0596240161340225
2268,CANDIDATE,18.0243482,3.575,441.2,441.2,1.98,5955.0,0.91,4.52,0.8332278902262982
2269,CANDIDATE,16.4793229,3.312,479.1,479.1,1.53,4908.0,0.716,4.618,1.1414314181291734
2277,CANDIDATE,2.10081629,2.8182,169.1,169.1,1.65,5815.0,0.918,4.5,1.0042916750342177
2288,CANDIDATE,3.67936863,3.47,85.9,85.9,0.92,5676.0,0.848,4.474,-0.2747168763566381
2289,CANDIDATE,7.4464635,4.084,78.0,78.0,0.77,5676.0,0.848,4.474,-0.2747168763566381
2305,CANDIDATE,2.252976718,1.7131,467.9,467.9,1.19,4039.0,0.559,4.708,1.1038984358084487
2315,CANDIDATE,16.6146221,2.706,361.2,361.2,1.49,5295.0,0.8,4.548,0.8628212032099469
2317,CANDIDATE,5.83892993,1.1066,237.4,237.4,1.19,5279.0,0.769,4.588,0.2622934860783483
2321,CANDIDATE,3.09756897,4.588,83.3,83.3,1.75,6329.0,1.885,4.026,-2.884702723890122
2329,CANDIDATE,205.385912,8.681,1248.7,1248.7,2.11,4400.0,0.624,4.659,0.9335564391220816
2334,CANDIDATE,1.23935745,1.683,150.9,150.9,1.5,5370.0,0.966,4.411,0.8714826606685748
2336,CANDIDATE,1.407020118,1.3766,181.9,181.9,1.12,5022.0,0.849,4.485,0.4918221087320117
2337,CANDIDATE,24.4359956,6.254,496.6,496.6,2.31,6197.0,1.035,4.449,1.143596782493831
2350,CANDIDATE,17.57704569,2.022,670.0,670.0,27.21,5653.0,0.901,4.442,0.4874913800026972
2354,CANDIDATE,1.400755743,1.0562,144.4,144.4,1.3,5487.0,1.072,4.333,0.1381459291713348
2357,CANDIDATE,1.28132831,0.9157,525.5,525.5,4.52,5918.0,1.596,3.978,-1.5573343683552563
2361,CANDIDATE,119.0833042,2.558,2951.0,2951.0,22.19,4412.0,0.623,4.662,1.1248302913334685
2362,CANDIDATE,27.8813154,6.346,209.2,209.2,1.54,6434.0,1.055,4.414,-0.4775393385128634
2364,CANDIDATE,7.50790041,5.646,145.0,145.0,1.77,6408.0,1.337,4.309,-2.2661303037197142
2373,CANDIDATE,110.3783828,12.211,489.8,489.8,3.02,6342.0,1.359,4.242,-2.6739405923968205
2376,CANDIDATE,4.28886792,2.599,59.3,59.3,0.57,5374.0,0.721,4.555,-0.298535884367867
2378,CANDIDATE,24.5752524,2.258,1003.4,1003.4,1.64,3678.0,0.512,4.755,1.1854604935438695
2381,CANDIDATE,10.1747037,5.179,52.4,52.4,1.04,5866.0,1.339,4.191,-0.6868578937630593
2400,CANDIDATE,2.17291055,2.139,76.4,76.4,0.93,6164.0,1.045,4.446,-0.0256999744210604
2402,CANDIDATE,7.35101287,2.757,115.9,115.9,1.42,5951.0,1.262,4.283,0.2016632838679469
2407,CANDIDATE,6.57159435,3.1044,65.7,65.7,1.26,6042.0,1.432,4.139,-2.8341775553814545
2413,CANDIDATE,0.868122253,1.5471,231.3,231.3,1.65,6116.0,1.084,4.44,1.108229164537763
2419,CANDIDATE,13.84301228,4.077,567.8,567.8,1.98,5745.0,0.837,4.559,0.8772569656409946
2439,CANDIDATE,5.1952021,2.1552,320.8,320.8,1.37,5044.0,0.738,4.551,0.4853260156380399
