,category,transit_period,transit_duration,transit_depth,transit_depth.1,planet_radius,star_temperature,star_radius,star_surface_gravity,star_brightness
1694,CANDIDATE,36.8382429,4.9462843,965.1649482,965.1649482,3.7858994,5363.1,1.2099299,4.08,-1.3538889529434073
1695,CANDIDATE,5.9910569,3.4644509,411.3820085,411.3820085,2.3197704,5711.7,1.12148,3.84,-1.89904182655914
1697,CANDIDATE,11.994832,3.374,1260.0,1260.0,3.11124,5567.0,0.86,4.56,-0.5491482252582347
1698,CANDIDATE,14.9315582,4.729,590.0,590.0,1.58293,4779.1,0.61,,-1.1876105871316394
1700,CANDIDATE,8.3272872,2.517,2970.0,2970.0,5.183,5632.0,0.89,4.54,-0.4100723629175158
1702,CANDIDATE,1.5411764,1.535,1510.0,1510.0,3.17311,4307.3,0.77,,-0.2309279481667405
1703,CANDIDATE,3.4024655,3.141,14990.0,14990.0,15.364,5822.0,1.21,4.3,0.7859187863129551
1704,CANDIDATE,10.7668398,4.2439843,1933.6811005,1933.6811005,10.5027085,5394.0,2.3196101,4.4,-0.5726134478469989
1705,CANDIDATE,1.426951,1.3367863,2881.7106387,2881.7106387,8.8281188,5421.0,1.02349,4.6,-0.1952706125357714
1706,CANDIDATE,6.6153188,2.3345844,1341.3720224,1341.3720224,2.2695325,4157.0,0.603418,4.59257,-0.1776870123191262
1707,CANDIDATE,,7.474737,4407.5735305,4407.5735305,7.8938765,5459.0,1.17142,4.27837,-0.176400407425225
1708,CANDIDATE,5.92777,2.5599954,12984.5364661,12984.5364661,20.4068988,8343.0,1.55754,4.36705,-0.3311605960915926
1710,CANDIDATE,,2.0935301,1704.3313705,1704.3313705,2.6595119,4242.0,0.652251,4.62878,-0.0801501079814943
1711,CANDIDATE,8.3761316,1.976,9060.0,9060.0,9.53663,5376.0,0.9,4.49858,-0.5168605691112926
1712,CANDIDATE,2.4087648,1.881,590.0,590.0,2.23597,5376.0,0.9,4.49858,-0.5168605691112926
1713,CANDIDATE,7.795385,1.6941573,2783.9129229,2783.9129229,1.8939264,3356.0,0.352909,4.8711,0.4072280792081171
1714,CANDIDATE,1.5746828,1.9286406,77503.5100766,77503.5100766,22.9576146,3273.0,0.579963,4.66823,1.613205733091247
1717,CANDIDATE,2.5574812,1.053,1860.0,1860.0,17.7879,5844.0,1.13,4.33,-0.4682146507418961
1719,CANDIDATE,2.955314,3.031,6470.0,6470.0,13.1598,7837.0,1.58,4.31121,0.0338063254783015
1720,CANDIDATE,5.3262922,2.2585228,1501.6874101,1501.6874101,2.6350944,4066.0,0.658727,4.60684,0.0681770562153695
1723,CANDIDATE,13.5853506,4.703902,3149.5795009,3149.5795009,15.2559264,8389.0,1.69485,4.29787,-0.5685698324661681
1724,CANDIDATE,2.8972041,1.958,640.0,640.0,4.096,5879.0,1.55,4.09,-0.5283174793569824
1725,CANDIDATE,14.9695925,5.832,430.0,430.0,3.04784,6456.0,1.46,,-1.0036260873038076
1726,CANDIDATE,17.3051476,3.4976316,657.1128437,657.1128437,2.7663379,5824.0,0.923281,4.53,-1.2674413574532062
1727,CANDIDATE,1.6951056,3.238,370.0,370.0,3.11352,6796.0,1.61,,-0.7400558847532478
