category,transit_period,transit_duration,transit_depth,transit_depth,planet_radius,star_temperature,star_radius,star_surface_gravity,star_brightness
CANDIDATE,13.837814,2.84,663.0,663.0,1.96,4535.0,0.7,,0.5694140398571713
CANDIDATE,13.8394,2.52,487.0,487.0,1.29,,0.554,,0.5694140398571713
CANDIDATE,7.79983,3.0,561.0,561.0,1.37,,0.554,,0.5694140398571713
CANDIDATE,7.7991586,2.94,423.0,423.0,1.57,4535.0,0.7,,0.5694140398571713
CANDIDATE,3.883,2.03,322.0,322.0,1.06,,0.554,,0.5694140398571713
CANDIDATE,2.3330982,1.4,9930.0,9930.0,5.48,3726.0,0.5,,2.9318913032194027
CANDIDATE,2.33293,1.2096,,,3.2,3508.0,0.224,5.062,2.9318913032194027
CANDIDATE,2.333123,1.128,12700.0,12700.0,2.95,,0.224,,2.9318913032194027
CANDIDATE,20.2073,3.72,735.0,735.0,2.12,,0.7624,,0.6297871036343683
CANDIDATE,36.7099,17.664,,,,5069.12,5.33871,,-0.9563779356028969
CANDIDATE,36.762337,18.73,1770.0,1770.0,3.44,4932.0,0.75,,-0.9563779356028969
CANDIDATE,19.565799,5.3,,,6.412,4486.0,0.854,4.652,3.219730556783411
CANDIDATE,6.39916,2.472,400.99999999999994,400.99999999999994,1.48,,0.7006,,0.40049142706642776
CANDIDATE,6.3991398,2.1,449.0,449.0,1.85,5210.0,0.8,,0.40049142706642776
CANDIDATE,2.72273204,3.596,14940.0,14940.0,,8002.0,2.85976,3.81097,-2.8108677027388147
CANDIDATE,15.695142,2.9,,,2.028,4270.0,0.625,4.719,0.6023448019174606
CANDIDATE,2.48038,1.848,115.99999999999999,115.99999999999999,1.44,,1.27,,-0.5087635031537803
CANDIDATE,1.9668579,2.4,322.0,322.0,1.51,5063.0,0.77,,0.6133217226042231
CANDIDATE,1.96712,2.712,361.0,361.0,1.73,,0.826,,0.6133217226042231
FALSE POSITIVE,,,,,,4419.0,0.52,,1.3743882235531304
CANDIDATE,12.726743,3.88,579.0,579.0,1.91,4767.0,0.73,,0.9066494365116141
CANDIDATE,13.2359,2.64,469.0,469.0,2.09,,0.924,,0.7377268237208717
CANDIDATE,0.18746328,1.07,13200.0,13200.0,217.0,46696.0,17.27,,2.7355263887117527
CANDIDATE,8.6382631,1.89,24300.0,24300.0,8.53,3720.0,0.5,,2.5007422518004305
CANDIDATE,8.63829,1.53192,,,6.81,3960.0,0.438,4.844,2.5007422518004305
CANDIDATE,8.6381,,,,15.99,3987.0,0.5,,2.5007422518004305
CANDIDATE,8.63795,2.0472,27380.0,27380.0,15.1,,0.438,,2.5007422518004305
FALSE POSITIVE,5.7968861,2.57,94300.0,94300.0,24.2,4721.0,0.72,,-0.6313391174893005
FALSE POSITIVE,5.79687,,,,27.81,5192.0,0.79,,-0.6313391174893005
CANDIDATE,0.4775252,2.0472,15255.0,15255.0,20.1,,0.522,,1.310966015140721
CANDIDATE,22.197992,2.54,15200.0,15200.0,5.34,3508.0,0.4,,2.0086103076772197
CANDIDATE,44.394,2.784,15169.999999999998,15169.999999999998,4.07,,0.318,,2.0086103076772197
CANDIDATE,3.29163,1.2888,394.0,394.0,1.17,,0.567,,0.3077974301559845
CANDIDATE,3.2908998,0.96,406.0,406.0,1.57,4671.0,0.72,,0.3077974301559845
CONFIRMED,0.877214,,,,1.3,5820.0,0.93,4.6,-0.688053207704243
CONFIRMED,0.87724,,,,1.565,5679.0,0.98,4.435,-0.688053207704243
CONFIRMED,0.87703,1.0008,250.0,250.0,1.2,5711.17,0.990833,4.45381,-0.688053207704243
CONFIRMED,0.877183,,,,1.40575209,5705.0,0.932487,4.48,-0.688053207704243
CANDIDATE,2.8964139,1.63,2890.0,2890.0,2.45,3547.0,0.42,,0.9011609761682334
CANDIDATE,2.89607106,1.874,3830.0,3830.0,,3565.0,0.524138,4.71635,0.9011609761682334
CANDIDATE,2.896528,1.5984,3274.0000000000005,3274.0000000000005,1.45,,0.242,,0.9011609761682334
CANDIDATE,0.44433632,0.72,134.0,134.0,1.01,5208.0,0.8,,-0.5386451205788572
CANDIDATE,0.444372,,,,1.22,5540.0,0.82,4.81,-0.5386451205788572
CONFIRMED,3.80464,,,,1.22,,,,-0.5136421345701189
CANDIDATE,7.28161,,,,1.78,3742.0,0.49,,0.7950507428628563
CANDIDATE,7.28116,,,,1.79,3726.0,0.541438,4.70134,0.7950507428628563
CANDIDATE,7.28076,1.872,1293.0,1293.0,2.6,,0.399,,0.7950507428628563
CANDIDATE,7.28138,1.32,,,17.0,3784.0,0.399,4.883,0.7950507428628563
CANDIDATE,7.28131,1.31,1160.0,1160.0,1.9,3748.0,0.51,,0.7950507428628563
CANDIDATE,4.58328,2.208,1520.0,1520.0,2.21,,0.545,,1.1444827180581478
CANDIDATE,1.65336,1.608,686.0,686.0,1.51,,0.545,,1.1444827180581478
CANDIDATE,5.28081,3.26904,,,10.9,6227.0,3.01,3.676,-0.8142877956020189
CANDIDATE,5.28130579,3.552,740.0,740.0,,6161.41,2.66957,3.65337,-0.8142877956020189
CANDIDATE,440.0,,,,16.3,4600.0,0.85,,-0.016021730103526664
CANDIDATE,30.0,,,,22.8,3400.0,0.89,,1.4250040244976492
CANDIDATE,,5.16,31770.0,31770.0,24.9,,0.6009,,1.4250040244976492
CANDIDATE,7.655533,3.0,,,2.328,5114.0,0.751,4.687,1.0298348797741774
FALSE POSITIVE,27.770388,3.14,106000.0,106000.0,25.1,4598.0,0.71,,0.25413248457625437
FALSE POSITIVE,27.77045,,,,32.79,5086.0,8.15,,0.25413248457625437
CANDIDATE,0.259669,,,,0.77,4340.0,0.69,4.25,-0.33679174572782533
CANDIDATE,0.25967056,0.5,132.0,132.0,0.742,3982.0,0.59,,-0.33679174572782533
CANDIDATE,5.54583,2.088,152.0,152.0,0.441,,0.34,,-0.33679174572782533
CANDIDATE,18.4502,3.72,850.0000000000001,850.0000000000001,2.52,,0.717,,1.0578870104181284
CANDIDATE,35.621,,450.0,450.0,1.89,5440.0,0.898,4.512,-0.5331566602354755
CANDIDATE,4.1333,1.704,1120.0,1120.0,1.2,,0.312,,1.5457501520520422
CANDIDATE,1.9611469,1.33,7270.0,7270.0,5.93,4166.0,0.64,,1.310966015140721
CANDIDATE,1.96133691104,1.632367,9235.0385,9235.0385,15.86577929,4427.0,1.06738,4.22028,1.310966015140721
CANDIDATE,40.7302,2.6496,,,7.8,5840.0,0.98,4.44,0.9901959995164222
CANDIDATE,40.7362,,,,7.28,5618.0,0.85,,0.9901959995164222
CANDIDATE,18.10220826,4.521,7800.0,7800.0,,6141.1,2.04778,3.88145,-1.7491555407580073
CANDIDATE,0.60408352,0.97,963.0,963.0,2.26,4331.0,0.67,,1.9366504942862162
CANDIDATE,3.52743,1.3296,,,1.11,3624.0,0.257,5.014,1.2329079124792945
CANDIDATE,3.52725,1.68,1990.0,1990.0,1.21,,0.257,,1.2329079124792945
CANDIDATE,3.52674,,,,1.32,3413.0,0.350987,4.87298,1.2329079124792945
CANDIDATE,3.5269024,1.57,1670.0,1670.0,2.98,4332.0,0.67,,1.2329079124792945
CANDIDATE,6340.0,,,,12.8,4800.0,0.88,,1.1792429668995645
CANDIDATE,9.321691,3.6,,,17.325,5089.0,0.678,4.712,3.4258527341237404
CANDIDATE,6.662,3.072,946.0,946.0,1.59,,0.483,,1.2804745687886019
CONFIRMED,2.71578,,,,1.03,,,,0.9096985811468266
CONFIRMED,2.0478,,,,0.90819,4520.0,0.655,4.659,1.093257088186587
CANDIDATE,,4.8072,13972.0,13972.0,35.0,,1.266,,-0.7484262714814401
FALSE POSITIVE,27.27048734,6.748,34130.0,34130.0,,5990.87,2.564,3.66162,-1.0289475779209414
FALSE POSITIVE,27.242808,6.5664,37137.0,37137.0,93.0,,2.54,,-1.0289475779209414
FALSE POSITIVE,27.24273,,,,31.73,6166.0,0.92,,-1.0289475779209414
FALSE POSITIVE,27.242912,6.56,37000.0,37000.0,18.8,5547.0,0.9,,-1.0289475779209414
CANDIDATE,1.395336,1.2312,665.0,665.0,0.76,,0.28,,1.0908177724784178
CANDIDATE,1.39533316,1.18,540.0,540.0,,3433.0,0.424658,4.80422,1.0908177724784178
CANDIDATE,1.3951513,1.15,616.0,616.0,0.879,3390.0,0.32,,1.0908177724784178
CANDIDATE,15.3791,2.28,2560.0,2560.0,1.89,,0.336,,1.6134411629537482
CANDIDATE,33.5107,5.2896,,,2.14,5683.0,0.896,4.5,-0.7575737053870764
CANDIDATE,33.51569,,,,3.83,5552.0,0.71,,-0.7575737053870764
CANDIDATE,33.5116,5.352,732.0,732.0,2.89,,0.875,,-0.7575737053870764
CANDIDATE,33.513607,,,,2.47313225,5628.0,0.857642,4.57,-0.7575737053870764
CANDIDATE,33.515399,4.81,822.0,822.0,2.03,4222.0,0.65,,-0.7575737053870764
CONFIRMED,3.96151,,,,1.0,,,,0.8816464505028769
CONFIRMED,3.96165,2.16,485.0,485.0,1.48,,0.634,,0.8816464505028769
CANDIDATE,6.97251,2.808,916.0,916.0,2.01,,0.6252,,0.7523627179698886
CONFIRMED,4.1698,,,,1.04,5053.0,0.628461,4.595,1.0761818782293997
CONFIRMED,4.16959,,,,1.1,,,,1.0761818782293997
CONFIRMED,4.16888,2.4,446.99999999999994,446.99999999999994,1.41,,0.628,,1.0761818782293997
CANDIDATE,12.3389,2.76,1021.0,1021.0,2.11,,0.628,,1.0761818782293997
CANDIDATE,12.339133,2.84,1070.0,1070.0,2.59,4751.0,0.73,,1.0761818782293997
CANDIDATE,2.89465,1.44,551.0,551.0,1.75,,0.702,,1.114601100633071
CANDIDATE,3.83794,2.112,315.0,315.0,1.51,,0.809,,0.43342218912671715
CANDIDATE,5.24086,2.568,292.0,292.0,1.46,,0.809,,0.43342218912671715
CANDIDATE,2790.0,,,,12.2,5100.0,0.93,,-0.7435476400651014
CANDIDATE,8.91058,2.88,592.0,592.0,2.8,,1.028,,0.3291414426024683
