category,transit_period,transit_duration,transit_depth,transit_depth,planet_radius,star_temperature,star_radius,star_surface_gravity,star_brightness
CP,17.4713078,4.4284819,1199.7541483,1199.7541483,3.5766828,5783.54,0.974669,4.49925,-2.129037768068857
PC,5.3079507,3.2158594,391.3830934,391.3830934,3.0486928,6124.3,1.36963,4.38,-1.162552425150427
PC,51.1701501,6.6641048,851.4547808,851.4547808,2.9366826,5599.0,0.943356,4.46138,-1.3201308912034346
PC,11.1296441,7.0473822,951.6169809,951.6169809,12.8402271,5785.0,3.4475601,4.344,-1.3391236301134009
PC,9.4496506,2.021,19750.0,19750.0,17.0216,5509.0,0.94,4.39758,-1.0913602876879087
KP,2.8493825,3.567,8049.0,8049.0,16.3869,6900.0,1.77,4.438,-0.7646851784364943
APC,2.0685633,0.373,502.0,502.0,3.89739,5687.9,1.14,4.6,-1.1632263610472318
FP,0.540933,1.674337,257.347459,257.347459,2.28501,5525.0,1.21935,4.25342,-1.1207683995485012
CP,4.1150576,1.08,487.0,487.0,2.30057,5394.0,0.89,4.50942,-1.2779179973035428
PC,10.0665238,2.4023189,839.9044871,839.9044871,2.7272824,5552.0,0.791742,4.61783,-1.5285608840153846
CP,6.4438657,1.9309449,1121.9512275,1121.9512275,2.460344,4803.0,0.737189,4.52079,-0.9544900337367346
CP,12.2265595,2.1904379,1206.3693293,1206.3693293,2.6014766,4803.0,0.737189,4.52079,-0.9544900337367346
KP,2.160344,1.828854,19357.992992,19357.992992,22.503541,5780.0,1.2,4.32928,1.0545741415394092
KP,4.606184,3.121643,13793.034867,13793.034867,12.962219,5670.0,1.07,4.3925,0.24928201175685183
KP,3.1316735,2.4579197,14915.6943722,14915.6943722,9.4995191,4351.0,0.76701,4.438,0.9831982033777626
KP,3.180362,2.111521,21192.463324,21192.463324,13.446487,5498.0,0.92,4.47934,1.056779749928954
KP,2.9776446,2.962,13022.0,13022.0,14.4339,5703.0,1.22,4.25824,-0.6950859803664254
KP,3.9502008,4.444,13914.0,13914.0,20.5357,6153.0,1.71,4.18077,-1.1766438120836273
FP,2.9776152,3.25697,43218.111683,43218.111683,26.88423,5740.0,1.28,4.29219,2.54109292919265
KP,3.5544026,2.0550535,10164.8753396,10164.8753396,13.200677,5639.0,1.11499,4.37172,0.010096035290698647
FP,12.8379689,9.8464123,10539.0192794,10539.0192794,25.4886382,5765.0,2.4494,4.34773,0.08992680561226542
CP,3.9228016,1.8736007,31510.9004906,31510.9004906,13.3368705,4444.0,0.6983,4.438,1.290329171621826
PC,13.9428705,3.7522756,1015.395543,1015.395543,2.4233421,5206.0,0.741671,4.63095,-0.5697339035606493
CP,0.6047392,1.0403847,1027.6833479,1027.6833479,1.8625587,4046.0,0.580337,4.60963,-0.2727732406683746
KP,2.5495611,2.6173308,14921.4021936,14921.4021936,12.9171288,5659.0,1.03997,4.44653,-0.1938614738424514
PC,1.6062693,1.9561305,16725.3019333,16725.3019333,12.6436029,5192.0,0.984326,4.4617,1.162342618128539
CP,0.5182425,0.8565249,831.8920424,831.8920424,1.3485121,3325.0,0.390989,4.88693,-0.8867288426579528
PC,3.1644075,2.0576293,5603.4635466,5603.4635466,14.8814743,6519.0,1.7234,4.22068,0.9585689096945161
KP,3.0440541,2.5984575,22236.0165376,22236.0165376,12.1086799,5523.0,0.809868,4.52192,0.9797672569940272
PC,3.9652485,1.0112593,3680.7544436,3680.7544436,1.2305102,3296.0,0.199988,4.96636,0.7002063936192694
PC,2.98278,3.109528,6136.231662,6136.231662,11.467011,6027.0,1.23975,4.29978,-0.023968360947821052
PC,16.3469053,3.5865698,2212.4257252,2212.4257252,3.5059571,4310.0,0.649613,4.57345,0.19585727521010812
PC,12.9802953,2.5034417,2407.2608671,2407.2608671,2.4241912,3614.0,0.491323,4.81257,0.32457903149991024
KP,1.3484961,2.4074261,18463.7636682,18463.7636682,15.8824638,6346.0,1.14759,4.38484,0.44190514444373213
APC,3.2541181,4.341,13620.0,13620.0,14.9476,6102.0,1.28,4.28649,0.05751661566590454
PC,3.7178828,5.5277827,4864.8405125,4864.8405125,14.6986197,5818.0,2.0840001,4.33787,0.4083308834028889
FP,9.30992,3.464,2220.0,2220.0,14.2968,6907.0,3.09,3.63,-1.3170062793182473
FA,1.15395,2.236,1550.0,1550.0,5.48364,6093.0,1.4,4.2,-0.6754805724593638
FP,4.73703,3.902,2410.0,2410.0,25.7144,11600.0,2.48,4.13,-0.7180610677575131
KP,2.76676,2.6872178,14947.4387827,14947.4387827,12.2867389,5346.0,0.984866,4.48823,1.0248596951802684
FP,2.19296,4.586,4933.74,4933.74,22.7769,7009.8,2.95,3.6,-0.9460964684765237
PC,1.725841,3.674,2710.0,2710.0,15.0024,7348.0,2.39,3.9,-1.354562888840212
FP,1.1923,3.119,3730.0,3730.0,30.666,6534.0,2.04,3.95,-1.5683843688266033
FP,11.47606,6.083,3050.0,3050.0,,,,,-0.9539998985390581
APC,0.5971314,0.468,910.0,910.0,9.08382,7710.0,2.28,3.98,-0.969990559363255
PC,1.4821386,2.1867078,2102.6568299,2102.6568299,13.7339261,7066.0,2.6647301,3.78,-0.6952085141658443
FP,0.9209526,1.8602735,360.8801529,360.8801529,5.7349089,6553.0,2.8908899,3.65,-0.8907111911390753
CP,9.188506,2.492,460.0,460.0,2.16591,5876.0,0.98,4.48,-1.741402093606422
