category,transit_period,transit_duration,transit_depth,transit_depth.1,planet_radius,star_temperature,star_radius,star_surface_gravity,star_brightness
CANDIDATE,2.30183,1.9008,22680.0,22680.0,1.12,4616.52,0.762602,4.53679,-0.8801493197225977
CANDIDATE,6.17887,2.5008,13030.0,13030.0,8.84,4719.28,0.849432,4.45833,-0.7612326789493308
CANDIDATE,2.71189,3.1008,200.0,200.0,4.34,6402.0,3.16745,3.54386,-0.5410844362870265
CANDIDATE,17.77297,2.8992,36620.0,36620.0,26.44,5847.0,1.25428,4.26659,0.1669269480091917
CANDIDATE,13.0113,2.2008,650.0,650.0,2.43,5347.0,0.880221,4.51267,0.6682063260380384
CANDIDATE,13.38382,2.2008,1200.0,1200.0,2.7,5113.71,0.65973,4.73383,-0.0050448094167631
CANDIDATE,27.47083,5.5008,1500.0,1500.0,3.36,4947.03,0.749863,4.59659,0.3523149418300794
CONFIRMED,0.87703,1.0008,250.0,250.0,1.2,5711.17,0.990833,4.45381,-0.688053207704243
CANDIDATE,1.96133691104,1.632367,9235.0385,9235.0385,15.86577929,4427.0,1.06738,4.22028,1.310966015140721
CANDIDATE,5.31937553733,6.6913995,6537.084,6537.084,19.66846395,6350.0,2.36934,3.78918,-0.3087396150838745
CANDIDATE,17.7256773,1.629,2859.9999999999995,2859.9999999999995,15.4613,6010.0,1.63,4.06,-1.0039445919122032
CANDIDATE,5.87672094142,2.4735452,10167.398700000002,10167.398700000002,8.02139241,4111.0,0.807445,4.43205,0.9981237755679734
CANDIDATE,4.72048898787,1.8316316,47110.5706,47110.5706,14.61863458,3553.0,0.489916,4.74625,0.8285913338501878
CANDIDATE,2.16595219375,1.5926216,431.2815,431.2815,2.91081826,6194.54,1.30635,4.28076,-1.0118723679637542
FALSE POSITIVE,0.8706763,1.007,1861.0,1861.0,6.52133,6121.0,1.47,4.16573,0.2309589853486432
CANDIDATE,59.847399221,4.3696664,11392.7508,11392.7508,11.75567728,5765.3,1.09215,4.38,-0.597188697574927
CANDIDATE,2.3494903,2.014,9053.0,9053.0,14.6551,7418.5,1.51,4.31,-0.5941395529397145
CANDIDATE,3.1393667,3.957,11087.0,11087.0,15.9004,5653.4,1.52,4.08,0.6352755639777501
CANDIDATE,1.38521606684,0.7629247,1913.3335,1913.3335,6.52719853,6294.0,1.451,4.20464,-0.2599533009204831
CANDIDATE,13.8240078,3.512,1140.0,1140.0,2.38171,5129.0,0.71,4.67,-0.1013977798894609
CANDIDATE,4.9898664,1.037,1850.0,1850.0,9.128,6242.0,1.63,4.09,-0.5349861470166027
CANDIDATE,4.8740385,4.125,6410.0,6410.0,14.3194,6504.4,1.8,4.05,0.6438131689563432
CANDIDATE,2.126953,1.416,707.0,707.0,1.7,4020.0,0.573,4.696,0.2754764970227371
CANDIDATE,2.00745282887,0.9340475,20674.1145,20674.1145,7.16393472,3449.0,0.490442,4.74578,1.936650494286216
CANDIDATE,3.544965,1.464,621.0,621.0,1.9,4860.0,0.701,4.602,0.236447445692025
CANDIDATE,5.513327,0.9264,2119.0,2119.0,3.9,5020.0,0.77,4.562,0.8627417537645623
CANDIDATE,0.53027,1.0632,568.0,568.0,1.4,3880.0,0.558,4.706,1.1932690322215391
CANDIDATE,23.89959501695,2.0395157,15998.7683,15998.7683,12.83075359,4736.5,0.76962,4.55,0.5986858283552062
CANDIDATE,4.894289,2.1048,3043.0,3043.0,4.1,4440.0,0.686,4.62,0.9999532623491004
FALSE POSITIVE,2.5840753,1.666,1757.0,1757.0,7.01829,6119.0,1.4,4.2,0.2498636820869567
CANDIDATE,4.7464485,2.408,1940.0,1940.0,10.3209,5890.5,2.26,3.76,0.2657192341900599
CANDIDATE,2.787663,0.7464,1087.0,1087.0,2.2,3950.0,0.602,4.676,0.46208414869771
CANDIDATE,3.607981,2.7384,5543.0,5543.0,18.3,6490.0,2.253,3.928,-0.1013977798894609
CANDIDATE,0.45220130587,0.5773712,15351.6498,15351.6498,7.91722863,3739.0,0.633946,4.6228,1.9732402299087608
CANDIDATE,3.47701708869,2.5101218,19986.4254,19986.4254,11.85710209,5225.91,0.84127,4.53759,0.8231028735068071
CONFIRMED,19.4921473,3.568,1700.0000000000002,1700.0000000000002,5.50689,6128.0,1.36,4.23,-1.641215820671504
CONFIRMED,19.491965,2.976,1777.0,1777.0,6.8,6320.0,1.485,4.219,-1.641215820671504
FALSE POSITIVE,1.9828041248,1.1139386,132105.0435,132105.0435,10.89107018,3213.0,0.293047,4.93347,2.295229903387144
CANDIDATE,5.169887,1.5504,3348.0,3348.0,9.1,6830.0,1.45,4.256,-1.1399364426426573
CANDIDATE,5.1699026,1.972,3110.0,3110.0,9.23587,6283.4,1.48,4.18,-1.1399364426426573
CANDIDATE,4.4455436,4.152,5839.0,5839.0,15.8181,6355.8,2.11,3.89,-0.1739674222075056
CANDIDATE,4.445559,3.6312,4228.0,4228.0,15.9,6520.0,2.237,3.932,-0.1739674222075056
CANDIDATE,2.783705,1.272,538.0,538.0,2.4,5890.0,0.939,4.487,-0.4441216368872866
CANDIDATE,7.1123703,2.644,497.0,497.0,1.85858,5595.7,0.91,4.52,-1.3985039077086316
CANDIDATE,7.112134,2.5104,553.0,553.0,2.7,5800.0,1.042,4.409,-1.3985039077086316
CANDIDATE,6.924808,2.8536,9578.0,9578.0,8.5,5300.0,0.795,4.55,1.4274433402058184
CONFIRMED,13.603,2.976,1100.0,1100.0,2.586,4684.0,0.673,4.622,1.0091006962547369
CONFIRMED,65.55,4.608,1100.0,1100.0,2.69,4684.0,0.673,4.622,1.0091006962547369
CANDIDATE,7.46475831483,1.0430706,10583.8259,10583.8259,11.93024915,5357.0,1.15577,4.27941,0.6608883789135305
CANDIDATE,3.90723655504,3.2205284,17049.263,17049.263,15.34164425,5500.0,1.17027,4.28377,1.198147663637879
CANDIDATE,11.5843558517,3.4607621,2500.558,2500.558,5.49928933,5631.0,1.09295,4.36,-0.2501960380878048
CANDIDATE,5.29136017752,3.5122145,11253.2759,11253.2759,11.52204139,5555.0,1.03676,4.39749,-0.2867857737103486
CANDIDATE,50.6939885,4.068,11200.000000000002,11200.000000000002,8.48837,5216.0,0.78,4.6039,-0.6392668935408526
CANDIDATE,0.7988525,0.831,1700.0000000000002,1700.0000000000002,4.00703,4785.0,0.86,4.45252,0.0382530444032465
CANDIDATE,8.90003342005,1.8542477,22163.2826,22163.2826,15.12617706,5854.0,1.0044,4.45956,0.9572652374561328
CANDIDATE,2.5048178,2.077,1723.0,1723.0,3.9467,5328.0,0.92,4.47,0.3754884410576905
CANDIDATE,0.36432247904,0.2120684,38216.7895,38216.7895,6.95273914,3473.0,0.347331,4.87657,1.9329915207239627
CANDIDATE,57.1050077,5.271,3388.0,3388.0,5.93946,5816.0,0.97,4.49,-1.0667569713975695
CONFIRMED,0.5713127,1.54,241.0,241.0,1.676,5578.0,0.99,4.408,-0.5173011081323734
CONFIRMED,13.33989,3.661,693.0,693.0,2.84,5578.0,0.99,4.408,-0.5173011081323734
CANDIDATE,15.35092,3.6,23860.0,23860.0,16.31,5417.0,0.943467,4.46174,1.2194916760843617
CANDIDATE,15.32811688418,4.1138054,30096.534,30096.534,16.40718966,5417.0,0.943467,4.46174,1.2194916760843617
CANDIDATE,15.78157905706,3.9993972,12007.7993,12007.7993,11.76767971,5780.0,1.0,4.438,0.5834401051791461
CANDIDATE,5.20256,1.3992,1130.0,1130.0,3.58,5489.0,0.995782,4.42401,0.2968205094692209
CANDIDATE,18.69646,2.2008,820.0,820.0,2.35,5212.0,0.764037,4.62123,0.2340081299838546
