category,transit_period,transit_duration,transit_depth,transit_depth.1,planet_radius,star_temperature,star_radius,star_surface_gravity,star_brightness
CANDIDATE,5.0113292,1.024,1210.0,1210.0,2.52314,4272.0,0.68,4.6,-0.8292604907303783
FALSE POSITIVE,1.01606,2.843,240.0,240.0,1.20704,4634.0,0.68,4.64,-2.241094927637657
CONFIRMED,3.547854,3.494333,10424.3718,10424.3718,14.581841,6351.0,1.4,4.22896,-0.0248873644434646
FALSE POSITIVE,12.1246519,4.612,7279.0,7279.0,17.6729,4807.6,1.07,4.17,-1.2211848481724827
FALSE POSITIVE,5.652623,3.434,1250.0,1250.0,8.94354,6415.4,1.92,3.98,-1.12242260584066
CANDIDATE,5.6643704,3.8087395,3491.8232968,3491.8232968,14.7738943,10395.0,2.3383701,4.13,-1.1044714042257562
FALSE POSITIVE,3.6404389,2.5339234,476.3077321,476.3077321,3.7025342,9810.0,1.60776,4.43,-1.0699781396892705
CANDIDATE,6.0744477,2.4954821,5982.5212406,5982.5212406,30.9493217,5964.0,2.4303801,3.7,-0.8891182517466258
CANDIDATE,3.7795212,2.952,2761.0,2761.0,5.98375,5771.0,1.18,4.31,-0.7831877821487832
FALSE POSITIVE,1.2025238,1.991,390.0,390.0,6.31106,9158.0,1.74,4.32,-1.5578464620765573
FALSE POSITIVE,3.2235985,2.159,680.0,680.0,5.51341,8904.0,2.17,4.09,-1.7449555737895774
CONFIRMED,4.0872956,5.586113,3572.1712499,3572.1712499,13.6237732,6036.0,2.2186699,3.93359,-1.041550298224031
FALSE POSITIVE,8.30792,3.228,8350.0,8350.0,43.1068,9081.0,3.05,3.83,-2.123339946395867
CANDIDATE,0.758082,1.8184632,583.93181,583.93181,10.1273702,9917.0,3.5086601,3.75,-1.1308774380005804
FALSE POSITIVE,1.4415577,2.349,507.0,507.0,3.61078,6902.0,1.52,4.25,-1.220388378476259
FALSE POSITIVE,3.7039994,4.277,7590.0,7590.0,17.57,7013.8,1.9,4.21,-1.1844247083467427
FALSE POSITIVE,1.3042553,1.706,914.0,914.0,9.36472,6762.0,1.75,4.11,-0.9508140197541604
FALSE POSITIVE,0.62627,0.666,1880.0,1880.0,5.72162,5622.0,0.93,4.5,-0.8138212320035674
FALSE POSITIVE,0.30412,0.748,1330.0,1330.0,10.417,11892.0,2.52,4.14,-1.6920822393402206
CONFIRMED,2.1805277,2.969175,16340.1353205,16340.1353205,16.808853,6599.0,1.2714601,4.21017,-0.3051834306147366
CONFIRMED,2.1846669,2.86528,11708.0228549,11708.0228549,13.7028527,5630.0,1.23824,4.37759,-1.264745613865986
CONFIRMED,3.7354838,4.142,17030.0,17030.0,21.2315,6650.0,1.57,4.1639,-0.3294451228997254
FALSE POSITIVE,21.701669,8.2676424,211.6567325,211.6567325,2.3751494,5625.0,1.56486,4.438,-2.7178126742778037
CONFIRMED,9.139804,3.0912936,358.4157801,358.4157801,3.0629855,5958.2,1.58,4.34,-1.5587041986724914
FALSE POSITIVE,5.742625,2.860293,1105.760867,1105.760867,13.088532,5664.0,3.86959,3.26574,-1.6412919794809888
CONFIRMED,15.5077855,4.565,513.0,513.0,2.43432,6122.0,1.17,4.30881,-1.9161965584778196
CONFIRMED,17.4713078,4.4284819,1199.7541483,1199.7541483,3.5766828,5783.54,0.974669,4.49925,-2.129037768068857
CANDIDATE,5.3079507,3.2158594,391.3830934,391.3830934,3.0486928,6124.3,1.36963,4.38,-1.162552425150427
CANDIDATE,51.1701501,6.6641048,851.4547808,851.4547808,2.9366826,5599.0,0.943356,4.46138,-1.3201308912034346
CANDIDATE,11.1296441,7.0473822,951.6169809,951.6169809,12.8402271,5785.0,3.4475601,4.344,-1.3391236301134009
CANDIDATE,9.4496506,2.021,19750.0,19750.0,17.0216,5509.0,0.94,4.39758,-1.0913602876879087
CONFIRMED,2.8493825,3.567,8049.0,8049.0,16.3869,6900.0,1.77,4.438,-0.7646851784364943
CANDIDATE,2.0685633,0.373,502.0,502.0,3.89739,5687.9,1.14,4.6,-1.1632263610472318
FALSE POSITIVE,0.540933,1.674337,257.347459,257.347459,2.28501,5525.0,1.21935,4.25342,-1.1207683995485012
CONFIRMED,4.1150576,1.08,487.0,487.0,2.30057,5394.0,0.89,4.50942,-1.2779179973035428
CANDIDATE,10.0665238,2.4023189,839.9044871,839.9044871,2.7272824,5552.0,0.791742,4.61783,-1.5285608840153846
CONFIRMED,6.4438657,1.9309449,1121.9512275,1121.9512275,2.460344,4803.0,0.737189,4.52079,-0.9544900337367346
CONFIRMED,12.2265595,2.1904379,1206.3693293,1206.3693293,2.6014766,4803.0,0.737189,4.52079,-0.9544900337367346
CONFIRMED,2.160344,1.828854,19357.992992,19357.992992,22.503541,5780.0,1.2,4.32928,1.0545741415394092
CONFIRMED,4.606184,3.121643,13793.034867,13793.034867,12.962219,5670.0,1.07,4.3925,0.2492820117568518
CONFIRMED,3.1316735,2.4579197,14915.6943722,14915.6943722,9.4995191,4351.0,0.76701,4.438,0.9831982033777626
CONFIRMED,3.180362,2.111521,21192.463324,21192.463324,13.446487,5498.0,0.92,4.47934,1.056779749928954
CONFIRMED,2.9776446,2.962,13022.0,13022.0,14.4339,5703.0,1.22,4.25824,-0.6950859803664254
CONFIRMED,3.9502008,4.444,13914.0,13914.0,20.5357,6153.0,1.71,4.18077,-1.1766438120836271
FALSE POSITIVE,2.9776152,3.25697,43218.111683,43218.111683,26.88423,5740.0,1.28,4.29219,2.54109292919265
CONFIRMED,3.5544026,2.0550535,10164.8753396,10164.8753396,13.200677,5639.0,1.11499,4.37172,0.0100960352906986
FALSE POSITIVE,12.8379689,9.8464123,10539.0192794,10539.0192794,25.4886382,5765.0,2.4494,4.34773,0.0899268056122654
CONFIRMED,3.9228016,1.8736007,31510.9004906,31510.9004906,13.3368705,4444.0,0.6983,4.438,1.290329171621826
CANDIDATE,13.9428705,3.7522756,1015.395543,1015.395543,2.4233421,5206.0,0.741671,4.63095,-0.5697339035606493
CONFIRMED,0.6047392,1.0403847,1027.6833479,1027.6833479,1.8625587,4046.0,0.580337,4.60963,-0.2727732406683746
CONFIRMED,2.5495611,2.6173308,14921.4021936,14921.4021936,12.9171288,5659.0,1.03997,4.44653,-0.1938614738424514
CANDIDATE,1.6062693,1.9561305,16725.3019333,16725.3019333,12.6436029,5192.0,0.984326,4.4617,1.162342618128539
CONFIRMED,0.5182425,0.8565249,831.8920424,831.8920424,1.3485121,3325.0,0.390989,4.88693,-0.8867288426579528
CANDIDATE,3.1644075,2.0576293,5603.4635466,5603.4635466,14.8814743,6519.0,1.7234,4.22068,0.958568909694516
CONFIRMED,3.0440541,2.5984575,22236.0165376,22236.0165376,12.1086799,5523.0,0.809868,4.52192,0.9797672569940272
CANDIDATE,3.9652485,1.0112593,3680.7544436,3680.7544436,1.2305102,3296.0,0.199988,4.96636,0.7002063936192694
CANDIDATE,2.98278,3.109528,6136.231662,6136.231662,11.467011,6027.0,1.23975,4.29978,-0.023968360947821
CANDIDATE,16.3469053,3.5865698,2212.4257252,2212.4257252,3.5059571,4310.0,0.649613,4.57345,0.1958572752101081
CANDIDATE,12.9802953,2.5034417,2407.2608671,2407.2608671,2.4241912,3614.0,0.491323,4.81257,0.3245790314999102
CONFIRMED,1.3484961,2.4074261,18463.7636682,18463.7636682,15.8824638,6346.0,1.14759,4.38484,0.4419051444437321
CANDIDATE,3.2541181,4.341,13620.0,13620.0,14.9476,6102.0,1.28,4.28649,0.0575166156659045
CANDIDATE,3.7178828,5.5277827,4864.8405125,4864.8405125,14.6986197,5818.0,2.0840001,4.33787,0.4083308834028889
FALSE POSITIVE,9.30992,3.464,2220.0,2220.0,14.2968,6907.0,3.09,3.63,-1.317006279318247
FALSE POSITIVE,1.15395,2.236,1550.0,1550.0,5.48364,6093.0,1.4,4.2,-0.6754805724593638
FALSE POSITIVE,4.73703,3.902,2410.0,2410.0,25.7144,11600.0,2.48,4.13,-0.7180610677575131
CONFIRMED,2.76676,2.6872178,14947.4387827,14947.4387827,12.2867389,5346.0,0.984866,4.48823,1.0248596951802684
FALSE POSITIVE,2.19296,4.586,4933.74,4933.74,22.7769,7009.8,2.95,3.6,-0.9460964684765236
CANDIDATE,1.725841,3.674,2710.0,2710.0,15.0024,7348.0,2.39,3.9,-1.354562888840212
FALSE POSITIVE,1.1923,3.119,3730.0,3730.0,30.666,6534.0,2.04,3.95,-1.5683843688266033
