category,transit_period,transit_duration,transit_depth,transit_depth.1,planet_radius,star_temperature,star_radius,star_surface_gravity,star_brightness
CONFIRMED,4.431238488,3.15,1010.9,1010.9,3.25,5714.0,1.015,4.428,0.7956949079055736
CONFIRMED,11.37936986,2.6255,1023.5,1023.5,3.95,5714.0,1.015,4.428,0.7956949079055736
CONFIRMED,26.39432897,3.573,1510.9,1510.9,3.07,5129.0,0.763,4.595,0.6996970877391036
CONFIRMED,13.57078281,3.3539,511.7,511.7,2.64,5854.0,1.012,4.406,-0.997948574152145
CONFIRMED,7.12594387,3.0014,192.4,192.4,1.79,5779.0,1.087,4.339,-1.063631293213413
FALSE POSITIVE,7.442652004,2.3078,24446.0,24446.0,15.03,6108.0,0.956,4.469,0.7256814601149897
CONFIRMED,16.38489988,3.0249,1127.1,1127.1,2.0,4126.0,0.615,4.661,0.5993685388433202
CONFIRMED,7.8774163,2.0805,1306.1,1306.1,2.16,4126.0,0.615,4.661,0.5993685388433202
CONFIRMED,36.4454001,4.007,1122.3,1122.3,1.99,4126.0,0.615,4.661,0.5993685388433202
CONFIRMED,3.728732147,2.683,5226.5,5226.5,6.02,5497.0,0.809,4.577,0.9082938548677474
CANDIDATE,40.4195037,3.362,6256.0,6256.0,7.51,5446.0,0.781,4.507,0.8823094824918613
CONFIRMED,2.243380573,1.1196,821.7,821.7,1.99,4149.0,0.564,4.698,0.6282400637054157
FALSE POSITIVE,10.405998015,6.5036,14489.0,14489.0,11.23,5746.0,0.924,4.393,0.9364435916082908
CONFIRMED,2.337437946,1.9982,971.2,971.2,2.34,5005.0,0.765,4.595,0.7718758998943435
CANDIDATE,7.2406612,0.558,556.4,556.4,19.45,5005.0,0.765,4.595,0.7718758998943435
CANDIDATE,3.43591631,3.133,23.2,23.2,0.55,5779.0,1.087,4.339,-1.063631293213413
CONFIRMED,11.59822233,2.5237,2804.5,2804.5,2.65,3688.0,0.473,4.79,1.2071141371904417
CONFIRMED,6.575315881,4.3084,2793.3,2793.3,5.31,5992.0,0.989,4.415,0.7559965612201904
CONFIRMED,7.275040844,7.5377,3001.0,3001.0,4.86,5485.0,0.867,4.556,0.5885417170200338
CONFIRMED,19.27153892,2.7594,1219.8,1219.8,1.93,4077.0,0.56,4.702,0.808687094093516
CONFIRMED,10.06524317,1.369,1053.3,1053.3,1.91,4077.0,0.56,4.702,0.808687094093516
CONFIRMED,12.3935651,3.8896,916.6,916.6,2.66,5557.0,0.75,4.603,0.895301668679805
CONFIRMED,43.84439721,6.802,615.2,615.2,2.87,5854.0,1.012,4.406,-0.997948574152145
FALSE POSITIVE,3.341913228,3.813,725.3,725.3,21.55,5295.0,0.811,4.551,0.984803395752302
FALSE POSITIVE,1.626630225,2.1145,1620.6,1620.6,32.43,5735.0,0.973,4.41,0.7321775532089616
CONFIRMED,2.711504086,3.0099,837.5,837.5,3.12,6214.0,1.076,4.442,0.9212860410556912
CONFIRMED,7.21203748,4.0491,950.4,950.4,3.32,6214.0,1.076,4.442,0.9212860410556912
FALSE POSITIVE,14.1798187,2.505,459.9,459.9,1.88,5799.0,0.878,4.539,1.0555386316644375
CONFIRMED,8.47237911,2.7245,1123.5,1123.5,2.59,5354.0,0.788,4.587,0.7754848405021061
CONFIRMED,60.4189369,5.039,931.3,931.3,2.36,5354.0,0.788,4.587,0.7754848405021061
CONFIRMED,12.611904345,5.1497,6105.6,6105.6,7.4,5795.0,0.919,4.508,0.6318490043131783
FALSE POSITIVE,1.433769925,1.8868,1976.3,1976.3,46.58,6017.0,1.339,4.22,0.6188568181252345
FALSE POSITIVE,10.31872301,3.836,871.7,871.7,28.59,5927.0,1.06,4.409,0.5777148951967473
CONFIRMED,2.539183147,2.4282,382.1,382.1,2.06,5519.0,1.062,4.35,0.5495651584562039
CONFIRMED,6.770300385,2.0844,1304.0,1304.0,2.77,5653.0,0.679,4.656,0.9573754471333104
FALSE POSITIVE,0.444291966,2.0792,10967.0,10967.0,27.51,5255.0,0.636,4.678,1.0706961822170376
CANDIDATE,10.181584004,3.5089,5741.1,5741.1,7.73,5988.0,0.836,4.541,1.0050134631557694
CONFIRMED,20.06036336,3.3203,1494.7,1494.7,1.96,3950.0,0.493,4.754,1.219384535256833
CONFIRMED,46.1842039,4.758,1394.7,1394.7,1.83,3950.0,0.493,4.754,1.219384535256833
CONFIRMED,23.9800854,5.351,104.0,104.0,1.31,5854.0,1.012,4.406,-0.997948574152145
CONFIRMED,7.82502168,2.186,520.8,520.8,1.2,3950.0,0.493,4.754,1.219384535256833
CONFIRMED,3.895936525,2.3111,8544.8,8544.8,7.34,5557.0,0.774,4.592,1.0540950554213324
CONFIRMED,22.36646466,5.228,986.8,986.8,2.32,5395.0,0.734,4.615,0.951601142160892
CONFIRMED,1.625522174,2.38963,7969.0,7969.0,9.73,5539.0,1.106,4.322,0.5315204554173937
CANDIDATE,19.620346923,2.0038,21725.0,21725.0,13.6,5710.0,0.905,4.492,0.9364435916082908
FALSE POSITIVE,7.544039,6.222,322.6,322.6,17.47,5657.0,0.824,4.567,0.9342782272436336
CONFIRMED,9.02930689,3.1449,1019.8,1019.8,2.57,5349.0,0.82,4.526,0.8101306703366213
FALSE POSITIVE,10.328035714,7.7915,16918.0,16918.0,13.28,5627.0,1.024,4.359,0.9970737938186937
CONFIRMED,143.2063047,8.9302,10566.0,10566.0,8.9,5485.0,0.867,4.556,0.8216792802814598
CONFIRMED,6.164876,3.262,55.8,55.8,0.79,5854.0,1.012,4.406,-0.997948574152145
CONFIRMED,60.32494216,6.6188,20280.0,20280.0,12.19,5485.0,0.867,4.556,0.8216792802814598
CONFIRMED,29.1598615,4.803,488.0,488.0,1.91,5485.0,0.867,4.556,0.8216792802814598
FALSE POSITIVE,1.540397253,2.1541,816.1,816.1,25.69,5663.0,0.915,4.53,1.233820297687881
FALSE POSITIVE,2.99025443,5.414,589.2,589.2,1.7,4667.0,0.731,4.578,1.138544265642964
CONFIRMED,1.594745374,1.9604,15044.0,15044.0,11.3,5934.0,0.893,4.491,0.913346371718614
CONFIRMED,4.783002698,2.335,1008.7,1008.7,2.5,5170.0,0.807,4.574,0.6166914537605772
CONFIRMED,20.50588921,4.0595,2105.5,2105.5,3.41,4905.0,0.761,4.544,0.8180703396736972
CONFIRMED,3.340218842,1.9104,1632.6,1632.6,2.03,3950.0,0.493,4.754,1.219384535256833
FALSE POSITIVE,2.507089906,2.0067,1339.2,1339.2,30.26,5926.0,0.939,4.506,0.9313910747574242
CONFIRMED,18.64932728,4.4056,893.6,893.6,3.12,5775.0,1.053,4.405,0.809408882215068
CONFIRMED,4.90144976,4.1654,140.7,140.7,1.7,5847.0,1.402,4.191,-1.2830548821653431
